"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;57,650002;59,189999;57,509998;58,549999;7325600;43,348061
2010-01-05;58,549999;59,439999;58,23;59,25;5697200;43,866306
2010-01-06;59,18;59,93;59,049999;59,43;4718800;43,99958
2010-01-07;59,299999;59,900002;58,650002;59,669998;5432900;44,177265
2010-01-08;59,25;60,369999;59,25;60,34;6651300;44,673309
2010-01-11;60,950001;64,419998;60,849998;64,129997;21958800;47,479263
2010-01-12;63,009998;63,16;61,18;62,240002;13561900;46,079994
2010-01-13;62,099998;62,779999;61,380001;62,330002;8398700;46,14661
2010-01-14;62,099998;62,84;61,75;61,98;6224100;45,887501
2010-01-15;61,450001;61,669998;60,009998;60,119999;9397000;44,814102
2010-01-19;59,759998;61,200001;59,349998;60,93;8056500;45,417892
2010-01-20;60,169998;60,43;59,310001;59,759998;6953500;44,545753
2010-01-21;59,5;59,900002;56,700001;56,849998;13874900;42,376614
2010-01-22;56,580002;57,540001;54,02;54,25;14757600;40,438538
2010-01-25;55,16;56,189999;54,830002;55,139999;9777300;41,101944
2010-01-26;54,990002;56,939999;54,599998;55,849998;15218300;41,631191
2010-01-27;52,959999;53,84;51,029999;53,439999;34041000;39,834751
2010-01-28;53,82;53,830002;51,200001;51,860001;15623100;38,657005
2010-01-29;52,779999;53,779999;52;52,240002;13962000;38,940266
2010-02-01;52,82;53,5;52,5;52,939999;7159100;39,462059
2010-02-02;53,48;53,720001;52,619999;53,549999;7665400;39,916752
2010-02-03;53,200001;54;53,099998;53,389999;6340800;39,797493
2010-02-04;52,799999;52,860001;51,380001;51,400002;11640200;38,314117
2010-02-05;51,209999;51,98;50,689999;51,75;15988800;38,575012
2010-02-08;51,639999;52,150002;50,5;50,779999;8668700;37,851955
2010-02-09;52,700001;54,25;52,549999;53,529999;15494200;39,901852
2010-02-10;53,650002;54,049999;52,450001;53,150002;8581500;39,618599
2010-02-11;53,099998;56,27;52,669998;56,150002;16405500;41,85482
2010-02-12;55,09;56,549999;54,610001;56,200001;13447700;41,89209
2010-02-16;56,77;57,240002;56,189999;57,119999;7364200;42,577869
2010-02-17;58,049999;58,349998;57,220001;57,5;8450800;42,861126
2010-02-18;57,150002;58,049999;56,849998;57,810001;6844000;43,092201
2010-02-19;57,59;58,48;57,310001;58,25;8005800;43,420189
2010-02-22;58,73;58,970001;58;58,029999;6994800;43,256191
2010-02-23;57,889999;58,380001;56,220001;56,66;10311000;42,234989
2010-02-24;56,669998;57,459999;56,459999;56,959999;5810100;42,458618
2010-02-25;55,330002;57,02;54,209999;56,790001;9965600;42,331886
2010-02-26;56,939999;57,240002;56,099998;57,049999;6108500;42,525696
2010-03-01;57,330002;58,389999;57,25;57,849998;8398500;43,122013
2010-03-02;58,279999;58,82;58,02;58,150002;6583600;43,34565
2010-03-03;58,450001;59,93;58,389999;58,57;8833800;43,65871
2010-03-04;58,790001;59;57,810001;58,450001;6195600;43,569252
2010-03-05;59,41;59,580002;58,900002;59,23;6626900;44,150681
2010-03-08;59,470001;59,490002;58,57;58,91;4755100;43,912155
2010-03-09;58,459999;59,720001;58,400002;59,18;7692500;44,113411
2010-03-10;59,110001;59,5;58,43;58,779999;6529900;43,815258
2010-03-11;58,790001;58,98;57,919998;58,900002;6166500;43,904694
2010-03-12;59,529999;60,490002;59,349998;60,360001;9688800;44,992996
2010-03-15;60,040001;60,25;58,380001;59,470001;7906700;44,32959
2010-03-16;59,650002;59,68;58,84;59,450001;7281000;44,314678
2010-03-17;59,650002;60,5;59,490002;60,220001;7925400;44,888649
2010-03-18;59,610001;60,389999;59,34;59,77;7204200;44,553215
2010-03-19;59,369999;60,310001;58,950001;59,369999;9425500;44,255051
2010-03-22;58,700001;60,27;58,66;59,950001;7512500;44,687382
2010-03-23;60,099998;62,509998;60,009998;62,41;14315300;46,521107
2010-03-24;61,959999;62,540001;61,419998;62,060001;11447400;46,260201
2010-03-25;62,68;63,709999;62,049999;62,139999;11361900;46,319839
2010-03-26;62,400002;63,18;61,990002;62,439999;7887300;46,543442
2010-03-29;62,759998;63,599998;62,759998;63,48;6986500;47,318672
2010-03-30;63,380001;63,630001;62,810001;63,16;6183200;47,080158
2010-03-31;62,759998;63,5;62,630001;62,849998;6660800;46,849079
2010-04-01;63,290001;64,199997;63,290001;63,990002;7829300;47,698845
2010-04-05;64,360001;65;64,199997;64,989998;6695600;48,44426
2010-04-06;64,809998;65,470001;64,57;65,290001;6389000;48,667881
2010-04-07;65,25;65,379997;64;64,470001;6973000;48,056637
2010-04-08;64,050003;64,650002;63,549999;64,480003;5418000;48,064102
2010-04-09;64,900002;65,519997;64,82;65,269997;6022900;48,652969
2010-04-12;65,93;67;65,760002;66,730003;11837000;49,74128
2010-04-13;66,699997;67,25;66,160004;66,190002;7001400;49,338741
2010-04-14;66,370003;67,370003;66,199997;67,279999;5497400;50,151253
2010-04-15;67,160004;68,709999;67,160004;68,220001;7129500;50,851929
