"date";"open";"high";"low";"close";"volume";"adjusted"
2013-11-18;49,75;50;47,490002;48,48;587100;46,20266
2013-11-19;48,990002;49;45,299999;45,799999;1682000;43,64856
2013-11-20;45,98;46;43,990002;44,650002;1106900;42,552586
2013-11-21;44,5;45,150002;43,040001;43,790001;730200;41,732986
2013-11-22;43,900002;44,099998;43,25;43,990002;947600;41,92358
2013-11-25;44,279999;45,619999;43,700001;44,18;727300;42,104649
2013-11-26;45;45;43,040001;43,200001;873700;41,170696
2013-11-27;43,549999;43,549999;42,5;43,240002;1153300;41,20882
2013-11-29;42,75;43,849998;42,75;43,240002;949900;41,20882
2013-12-02;43,080002;43,669998;41,52;43,139999;5130700;41,11351
2013-12-03;42,799999;44,849998;42,700001;42,900002;3239300;40,884789
2013-12-04;42,43;42,610001;41,650002;41,830002;2777700;39,865044
2013-12-05;42,279999;42,279999;40,630001;41,049999;3380500;39,121681
2013-12-06;40,75;41,060001;40,639999;40,700001;4662300;38,788136
2013-12-09;40,700001;41,27;40,240002;41,18;3074000;39,245586
2013-12-10;41,07;42,84;41,040001;42,560001;3289400;40,56076
2013-12-11;42,32;43,02;42;42,459999;3367300;40,465454
2013-12-12;42,009998;43,099998;42;42,970001;1770500;40,951492
2013-12-13;42,919998;43,799999;42,919998;43,25;683800;41,218338
2013-12-16;43,009998;43,990002;42,110001;43,689999;1953900;41,63768
2013-12-17;43,43;44;43,16;43,75;1396700;41,694862
2013-12-18;43,650002;44,5;43,099998;44,27;1225200;42,19043
2013-12-19;43,959999;44,5;43,82;44,450001;593000;42,361969
2013-12-20;44,299999;44,450001;43,91;44,259998;2878600;42,180901
2013-12-23;44,169998;44,849998;43,549999;44,650002;773600;42,552586
2013-12-24;44,759998;45,02;44,25;44,580002;304700;42,485878
2013-12-26;44,860001;45,009998;44,439999;44,700001;513200;42,600231
2013-12-27;44,77;44,970001;44,09;44,639999;393300;42,543045
2013-12-30;44,450001;44,880001;44;44,119999;381500;42,047474
