"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;67,589996;68,330002;66,529999;67,099998;1511500;52,843407
2010-01-05;67,239998;68,199997;66,449997;68,120003;2173700;53,646721
2010-01-06;68,230003;68,940002;68,029999;68,440002;1814900;53,898712
2010-01-07;68,260002;69,389999;67,709999;68,739998;1329100;54,134979
2010-01-08;68,260002;68,639999;67,089996;67,849998;1021900;53,434052
2010-01-11;68,139999;68,720001;67,690002;68,169998;974400;53,686066
2010-01-12;67,709999;68,089996;66,709999;67,489998;1391700;53,150566
2010-01-13;67,610001;68,739998;67,300003;68,599998;1384200;54,024715
2010-01-14;68,43;68,779999;67,800003;68,309998;967100;53,796326
2010-01-15;68,190002;68,449997;67,610001;68,089996;1421900;53,62307
2010-01-19;68,260002;69,620003;67,839996;69,529999;1721700;54,757118
2010-01-20;69,019997;69,190002;68,330002;69,07;1591300;54,394859
2010-01-21;68,879997;69,300003;65,580002;65,839996;2598500;51,851124
2010-01-22;65,519997;66,519997;63,939999;64,279999;2289400;50,622581
2010-01-25;65,25;65,57;63,59;65,099998;1560700;51,26836
2010-01-26;64,779999;65,940002;64,230003;64,720001;1436900;50,969097
2010-01-27;64,260002;65,440002;63,349998;65,07;2375600;51,244732
2010-01-28;65,75;65,93;64,690002;65,389999;1440400;51,496735
2010-01-29;65,809998;66,25;64,230003;64,870003;1783500;51,087219
2010-02-01;65,709999;66,879997;65,040001;66,870003;1639500;52,662292
2010-02-02;67,709999;68,010002;66,559998;67,800003;2092100;53,394695
2010-02-03;67,589996;67,599998;66,199997;66,5;1869400;52,370907
2010-02-04;65,970001;66,120003;63,380001;63,439999;2384600;49,96106
2010-02-05;63,639999;64,959999;62,389999;64,529999;1997400;50,819454
2010-02-08;64,650002;65,139999;62,740002;62,900002;1455600;49,535774
2010-02-09;63,650002;63,810001;62,220001;62,810001;1713800;49,464905
2010-02-10;62,720001;63,279999;61,5;62,490002;1567700;49,212902
2010-02-11;62,400002;63,029999;61,82;62,720001;1197000;49,39402
2010-02-12;62,080002;63,470001;61,779999;63,400002;1355600;49,92955
2010-02-16;64;65,150002;63,610001;65,029999;1698200;51,213226
2010-02-17;65,230003;65,68;64,919998;65,389999;1083500;51,496735
2010-02-18;65,110001;66,620003;64,699997;66,349998;1184300;52,252769
2010-02-19;65,910004;66,769997;65,379997;66,57;1294400;52,426025
2010-02-22;66,540001;67,489998;66,540001;67,029999;1311200;52,7883
2010-02-23;66,699997;67;65,68;65,949997;1525700;51,937748
2010-02-24;65,919998;66,730003;65,720001;66,709999;1598000;52,536282
2010-02-25;65,93;67,489998;65,620003;67,419998;1380100;53,095425
2010-02-26;67,419998;68,75;67,25;67,93;1842200;53,497078
2010-03-01;68,239998;68,739998;67,839996;68,279999;1261400;53,772705
2010-03-02;68,720001;68,940002;68,410004;68,620003;1173500;54,04047
2010-03-03;68,779999;69;68,32;68,669998;905100;54,079853
2010-03-04;68,720001;69,309998;68,5;69,169998;1056800;54,473606
2010-03-05;69,660004;71,260002;69,339996;71,139999;1322600;56,025047
2010-03-08;71,07;72,760002;71,07;72,580002;1341400;57,159092
